,Unnamed: 0,PostalCode,Borough,Neighbourhood,Latitude,Longitude
0,0,M1B,Scarborough,"Malvern,Rouge",43.811525000000074,-79.19551746399998
1,1,M1C,Scarborough,"Rouge Hill,Port Union,Highland Creek",43.78566500000005,-79.15872457299997
2,2,M1E,Scarborough,"Guildwood,Morningside,West Hill",43.76581500000003,-79.17519294699997
3,3,M1G,Scarborough,Woburn,43.768369121000035,-79.21758999999997
4,4,M1H,Scarborough,Cedarbrae,43.76968799900004,-79.23943999999995
5,5,M1J,Scarborough,Scarborough Village,43.74312500000008,-79.23174973599998
6,6,M1K,Scarborough,"Kennedy Park,Ionview,Birchmount Park",43.72627568400003,-79.26362499999993
7,7,M1L,Scarborough,"Golden Mile,Clairlea,Oakridge",43.71305350000006,-79.28505499999994
8,8,M1M,Scarborough,"Cliffside,Cliffcrest,Scarborough Village",43.724234575000025,-79.22792499999997
9,9,M1N,Scarborough,"Birch Cliff,Cliffside",43.69677000000007,-79.25996735299998
10,10,M1P,Scarborough,"Dorset Park,Wexford Heights,Scarborough Town Centre",43.759975000000054,-79.26897418299995
11,11,M1R,Scarborough,"Wexford,Maryvale",43.750710464000065,-79.30055999999996
12,12,M1S,Scarborough,Agincourt,43.79394000000008,-79.26797613999997
13,13,M1T,Scarborough,"Tam O'Shanter,Sullivan",43.78472500000004,-79.29906603299997
14,14,M1V,Scarborough,"Milliken,Agincourt North,Steeles,L'Amoreaux",43.81768500000004,-79.28018721399997
15,15,M1W,Scarborough,"Steeles,L'Amoreaux",43.80088292800008,-79.32073999999994
16,16,M1X,Scarborough,Upper Rouge,43.83421500000003,-79.21670085099998
